"Term","PC 1","PC 2","PC 3","PC 4","PC 5","PC 6","PC 7","PC 8","PC 9","PC 10","PC 11","PC 12","PC 13","PC 14","PC 15","PC 16","PC 17","PC 18","PC 19","PC 20","PC 21","PC 22","PC 23","PC 24","PC 25","PC 26"
"●","-0.00926","0.00374","0.00538","0.00349","-0.000802","-0.000835","-0.00291","-0.00346","0.00139","0.000595","-0.000993","-0.00335","0.00192","-0.00234","0.000440","-0.000776","0.000409","0.00129","-0.000503","-0.000248","0.000235","-0.00200","-0.000496","0.00945","0.0217","0.402"
"䘏","-0.00926","0.00374","0.00538","0.00349","-0.000802","-0.000835","-0.00291","-0.00346","0.00139","0.000595","-0.000993","-0.00335","0.00192","-0.00234","0.000440","-0.000776","0.000409","0.00129","-0.000503","-0.000248","0.000235","-0.00200","-0.000496","0.00945","0.0217","-0.758"
"一","0.00434","0.00384","0.0109","-0.00928","-0.000419","0.0118","0.00224","-0.000185","0.00845","-0.000604","-0.00587","-0.00451","-0.00643","0.00577","0.000969","0.0193","0.000150","-0.00344","-0.000569","0.00817","0.0135","-0.0147","0.00245","-0.0108","0.00499","-0.473"
"丁","-0.0117","0.00606","-0.0158","0.0152","0.0131","-0.00996","-0.00823","0.0138","0.00448","-0.0101","-0.00385","0.0188","-0.0163","0.0197","-0.0136","0.0264","0.00513","-0.0198","0.0122","0.0124","-0.00295","0.00708","-0.0301","0.0134","-0.0122","-0.0993"
"七","-0.0372","-0.0173","0.0105","-0.0401","0.0123","0.00195","0.0145","0.0218","-0.0228","-0.00617","0.0243","0.0483","0.00770","0.0149","-0.00214","-0.0149","0.0171","-0.0124","-0.0657","-0.0203","0.0379","0.0524","0.0556","-0.00404","-0.00957","-0.0163"
"丈","-0.0199","0.0164","-0.0254","0.00506","-0.0148","0.0379","0.0335","0.0477","0.00761","0.0328","-0.0109","0.00757","0.0384","-0.0454","-0.0186","0.00474","-0.0279","0.0194","0.0133","-0.00499","-0.00188","-0.0100","-0.00490","0.0161","-0.0110","0.00228"
"三","-0.00109","0.00338","-0.00295","0.00201","-0.000789","0.00100","0.00427","0.000694","-0.0000611","-0.00390","0.00520","0.00421","0.000382","0.00208","-0.000893","-0.00579","-0.00182","0.00116","0.000137","-0.00196","-0.00139","0.00136","-0.000117","0.00161","-0.000447","0.00242"
"上","-0.00372","0.00150","0.000337","-0.0131","0.00833","0.00655","-0.00238","-0.0193","0.000459","0.000623","0.0102","0.00857","-0.0244","0.00557","0.00753","0.0110","-0.00253","0.0153","0.0242","-0.0211","-0.00527","0.0188","0.0189","0.00988","-0.0193","-0.000372"
"下","0.000359","-0.000700","-0.0174","0.00754","-0.00283","0.00623","0.0107","0.0127","-0.00443","-0.000227","0.00500","-0.00506","0.00770","0.00457","-0.0171","-0.00463","-0.000283","0.0168","0.00582","0.0121","-0.0132","-0.00228","0.0153","0.00264","-0.00523","0.00500"
"不","-1.38e-19","-1.09e-17","-6.44e-17","2.00e-16","1.40e-16","1.92e-16","-5.79e-16","5.50e-17","-4.33e-16","-7.34e-17","7.92e-16","8.95e-16","-9.60e-16","1.42e-16","-5.35e-17","6.70e-16","7.85e-16","-9.03e-16","4.63e-16","4.95e-17","3.08e-16","1.34e-16","1.86e-17","2.67e-16","1.45e-17","0.00000457"
"与","-0.0672","-0.161","0.00662","-0.0286","0.0167","0.0239","0.0239","-0.0151","0.00128","0.00543","-0.0000706","-0.0212","-0.00360","0.0136","0.0139","-0.00589","-0.00493","0.00537","0.00751","-0.00787","-0.00575","-0.0154","-0.0660","-0.0609","-0.00501","-0.00186"
"丑","-0.0131","-0.0228","-0.00340","-0.00438","0.00193","0.00560","0.00722","0.00466","-0.00189","0.000610","0.00491","0.00883","-0.00643","0.00871","-0.00262","0.00192","0.00280","-0.00391","-0.00198","0.000799","0.000417","0.0141","0.0392","0.00769","0.00200","0.000784"
"专","-0.0144","-0.0318","-0.00212","-0.00565","0.00264","0.00595","0.00820","0.00396","-0.00221","-0.000967","0.00457","0.00896","-0.00614","0.0102","-0.00278","0.00215","0.00379","-0.00500","-0.00178","0.000965","0.000756","0.0155","0.0455","0.0229","-0.00510","-0.00145"
"且","0.00498","0.0137","-0.0128","0.0000991","-0.0410","-0.0127","0.00381","0.00229","-0.0584","-0.00811","0.0676","0.00934","0.0262","-0.0164","-0.0158","0.00198","-0.000597","0.00951","0.0189","0.0181","0.0124","-0.0274","0.00594","-0.0174","-0.0149","-0.0164"
"丕","-0.00542","0.00360","0.00296","0.00114","-0.000254","0.0000542","-0.00128","-0.00168","0.0000627","0.000814","0.0000749","-0.00187","0.000946","-0.000739","0.00106","-0.00138","-0.000581","0.000930","-0.000677","0.0000721","0.000143","0.000328","0.00208","-0.00245","-0.0181","-0.000263"
"世","-0.0162","0.0102","-0.0236","0.0207","0.0142","-0.0258","-0.00831","0.0838","0.0151","-0.0415","0.0455","-0.0135","-0.0183","0.0365","-0.0243","0.0121","0.000746","-0.0224","0.0275","-0.0231","0.0275","0.00708","-0.00239","-0.00156","0.00212","-0.00415"
"丘","-0.0141","0.0215","-0.0293","-0.0196","-0.0110","0.0312","0.0686","0.0524","0.0170","-0.00821","-0.0267","0.0674","0.0170","-0.00514","0.0624","-0.0228","0.00785","-0.0300","0.0577","0.0259","-0.0321","-0.0277","0.0203","-0.0271","0.0234","0.00543"
"业","-0.0323","-0.0809","0.00723","-0.0143","0.00907","0.0105","0.00797","-0.0155","0.00345","0.00505","-0.00528","-0.0256","0.00440","-0.00177","0.0133","-0.00673","-0.00791","0.00961","0.00748","-0.00681","-0.00504","-0.0289","-0.100","-0.0704","0.00219","-0.0000604"
"並","0.0108","0.00357","-0.0170","0.0125","0.0305","-0.0226","0.0195","0.00398","-0.000181","0.0277","-0.0121","-0.00780","-0.0183","0.00966","0.0383","-0.00716","0.0293","0.0478","-0.0134","0.00751","0.0298","-0.00971","0.000775","0.0127","-0.00187","0.000506"
"中","-0.0117","-0.00701","-0.00191","-0.0273","-0.0132","0.0190","0.00740","0.0313","-0.00322","0.0200","0.00210","0.00519","0.00275","0.00822","0.00448","0.0169","-0.0180","0.00284","0.00297","-0.0409","0.00374","-0.00980","0.0209","-0.0123","-0.00245","-0.00403"
