"Term","PC 1","PC 2","PC 3","PC 4","PC 5","PC 6"
"●","0.0102","-0.0120","0.00166","0.0367","-0.0175","0.419"
"䘏","0.0102","-0.0120","0.00166","0.0367","-0.0175","-0.893"
"一","-2.62e-16","9.55e-17","3.93e-15","-2.21e-15","3.66e-15","-0.156"
"丁","0.00960","0.0701","-0.00994","0.0103","0.0124","0.00881"
"七","-0.0159","-0.0126","0.0555","-0.0175","0.00233","0.00464"
"丈","0.00994","-0.00972","0.00127","0.00441","-0.000349","0.00000648"
"三","0.00","0.00","0.00","0.00","0.00","0.00"
"上","0.00","0.00","0.00","0.00","0.00","0.00"
"下","0.00","0.00","0.00","0.00","0.00","0.00"
"不","0.00","0.00","0.00","0.00","0.00","0.00"
"与","-0.133","-0.0348","-0.0772","-0.00905","-0.00552","0.000404"
"丑","-0.0195","-0.000695","0.0366","-0.00589","-0.00338","-0.0000998"
"专","-0.0349","-0.0000700","0.0589","-0.000561","0.00358","0.000287"
"且","0.0277","-0.0214","0.00333","-0.0498","0.0144","-0.000205"
"丕","0.00464","-0.00550","0.000122","-0.00359","0.0174","-0.0000165"
"世","0.00671","0.0371","0.00728","-0.000310","-0.00291","-0.000102"
"丘","0.000530","0.0104","0.00805","-0.0197","-0.0165","-0.000584"
"业","-0.0838","-0.0323","-0.139","-0.00779","-0.00924","-0.000345"
"中","-0.0143","-0.0147","0.0143","-0.0186","-0.00649","0.000209"
"临","-0.0210","-0.00808","-0.0348","-0.00195","-0.00231","-0.0000864"
"为","-0.257","-0.0744","-0.212","-0.0189","-0.0146","0.00298"
"主","0.0177","-0.0169","0.00194","-0.00674","0.0128","-0.000598"
"举","-0.0349","-0.0000700","0.0589","-0.000561","0.00358","0.000287"
"乃","0.0305","0.0811","-0.0112","-0.00585","0.0178","-0.00227"
"久","-0.00254","0.0139","0.0116","-0.00474","0.00138","-0.000192"
"义","-0.0471","-0.00995","-0.00657","-0.00273","-0.000635","-0.000819"
"之","0.00","0.00","0.00","0.00","0.00","0.00"
"乌","-0.0210","-0.00808","-0.0348","-0.00195","-0.00231","-0.0000864"
"乎","0.0185","-0.00978","-0.0266","-0.0360","-0.0144","-0.000183"
