"","學而","為政","八佾","里仁","公冶長","雍也","述而","泰伯","子罕","鄉黨","先進","顏淵","子路","憲問","衛靈公","季氏","陽貨","微子","子張","堯曰","孔子世家","仲尼弟子列傳","本姓解","七十二弟子解","衣鏡·孔子傳","衣鏡·弟子傳"
"學而","1.00","0.170","0.0916","0.188","0.149","0.0918","0.122","0.137","0.0982","0.0569","0.0966","0.122","0.144","0.101","0.139","0.122","0.159","0.0537","0.187","0.0778","0.137","0.119","0.0655","0.0654","0.0293","0.0421"
"為政","0.170","1.00","0.0620","0.0938","0.128","0.119","0.105","0.0965","0.0836","0.0729","0.138","0.194","0.152","0.0896","0.111","0.114","0.129","0.0622","0.148","0.0913","0.165","0.139","0.0932","0.0891","0.0637","0.0536"
"八佾","0.0916","0.0620","1.00","0.0462","0.0562","0.0736","0.112","0.0665","0.105","0.0552","0.0808","0.0910","0.0700","0.189","0.0682","0.0553","0.0724","0.0700","0.0890","0.0502","0.163","0.0916","0.145","0.0414","0.0187","0.0320"
"里仁","0.188","0.0938","0.0462","1.00","0.146","0.0851","0.124","0.0903","0.0770","0.0553","0.0942","0.132","0.171","0.112","0.131","0.104","0.193","0.0723","0.0935","0.0934","0.135","0.107","0.0533","0.0558","0.0152","0.0158"
"公冶長","0.149","0.128","0.0562","0.146","1.00","0.146","0.104","0.0672","0.101","0.0719","0.198","0.135","0.124","0.143","0.126","0.113","0.141","0.101","0.113","0.0742","0.176","0.179","0.0973","0.115","0.0393","0.0298"
"雍也","0.0918","0.119","0.0736","0.0851","0.146","1.00","0.132","0.0717","0.145","0.0816","0.192","0.187","0.134","0.132","0.123","0.0788","0.123","0.0694","0.0972","0.0764","0.210","0.178","0.0916","0.0903","0.0280","0.0326"
"述而","0.122","0.105","0.112","0.124","0.104","0.132","1.00","0.110","0.141","0.0866","0.127","0.129","0.167","0.174","0.122","0.0943","0.148","0.111","0.112","0.0923","0.262","0.170","0.101","0.0711","0.0393","0.0296"
"泰伯","0.137","0.0965","0.0665","0.0903","0.0672","0.0717","0.110","1.00","0.0858","0.0488","0.102","0.0582","0.0864","0.0984","0.124","0.0836","0.130","0.0582","0.104","0.107","0.134","0.0965","0.0730","0.0523","0.0362","0.0220"
"子罕","0.0982","0.0836","0.105","0.0770","0.101","0.145","0.141","0.0858","1.00","0.0980","0.143","0.0972","0.0968","0.135","0.122","0.109","0.121","0.101","0.0894","0.0702","0.228","0.136","0.0801","0.0920","0.0513","0.0447"
"鄉黨","0.0569","0.0729","0.0552","0.0553","0.0719","0.0816","0.0866","0.0488","0.0980","1.00","0.0813","0.0644","0.0756","0.0662","0.0964","0.0699","0.0739","0.0471","0.0692","0.0541","0.143","0.0713","0.0487","0.0372","0.0151","0.0188"
"先進","0.0966","0.138","0.0808","0.0942","0.198","0.192","0.127","0.102","0.143","0.0813","1.00","0.143","0.117","0.124","0.122","0.123","0.125","0.106","0.112","0.0567","0.250","0.210","0.0944","0.123","0.0774","0.0391"
"顏淵","0.122","0.194","0.0910","0.132","0.135","0.187","0.129","0.0582","0.0972","0.0644","0.143","1.00","0.185","0.159","0.136","0.0979","0.122","0.0829","0.132","0.0810","0.183","0.155","0.0732","0.0619","0.0265","0.0388"
"子路","0.144","0.152","0.0700","0.171","0.124","0.134","0.167","0.0864","0.0968","0.0756","0.117","0.185","1.00","0.142","0.0980","0.0930","0.127","0.0902","0.102","0.105","0.201","0.138","0.0859","0.0808","0.0338","0.0277"
"憲問","0.101","0.0896","0.189","0.112","0.143","0.132","0.174","0.0984","0.135","0.0662","0.124","0.159","0.142","1.00","0.147","0.128","0.137","0.140","0.146","0.0663","0.253","0.171","0.141","0.0849","0.0415","0.0347"
"衛靈公","0.139","0.111","0.0682","0.131","0.126","0.123","0.122","0.124","0.122","0.0964","0.122","0.136","0.0980","0.147","1.00","0.117","0.144","0.109","0.163","0.0786","0.191","0.138","0.0805","0.0751","0.0217","0.0289"
"季氏","0.122","0.114","0.0553","0.104","0.113","0.0788","0.0943","0.0836","0.109","0.0699","0.123","0.0979","0.0930","0.128","0.117","1.00","0.0994","0.0790","0.0989","0.0847","0.191","0.133","0.116","0.0747","0.0374","0.0232"
"陽貨","0.159","0.129","0.0724","0.193","0.141","0.123","0.148","0.130","0.121","0.0739","0.125","0.122","0.127","0.137","0.144","0.0994","1.00","0.0906","0.137","0.119","0.222","0.145","0.0931","0.0969","0.0469","0.0295"
"微子","0.0537","0.0622","0.0700","0.0723","0.101","0.0694","0.111","0.0582","0.101","0.0471","0.106","0.0829","0.0902","0.140","0.109","0.0790","0.0906","1.00","0.0828","0.0690","0.285","0.142","0.103","0.0922","0.0501","0.0334"
"子張","0.187","0.148","0.0890","0.0935","0.113","0.0972","0.112","0.104","0.0894","0.0692","0.112","0.132","0.102","0.146","0.163","0.0989","0.137","0.0828","1.00","0.0919","0.207","0.116","0.127","0.0650","0.0443","0.0483"
"堯曰","0.0778","0.0913","0.0502","0.0934","0.0742","0.0764","0.0923","0.107","0.0702","0.0541","0.0567","0.0810","0.105","0.0663","0.0786","0.0847","0.119","0.0690","0.0919","1.00","0.124","0.0793","0.0691","0.0283","0.0213","0.0252"
"孔子世家","0.137","0.165","0.163","0.135","0.176","0.210","0.262","0.134","0.228","0.143","0.250","0.183","0.201","0.253","0.191","0.191","0.222","0.285","0.207","0.124","1.00","0.426","0.317","0.248","0.164","0.0655"
"仲尼弟子列傳","0.119","0.139","0.0916","0.107","0.179","0.178","0.170","0.0965","0.136","0.0713","0.210","0.155","0.138","0.171","0.138","0.133","0.145","0.142","0.116","0.0793","0.426","1.00","0.206","0.609","0.0988","0.113"
"本姓解","0.0655","0.0932","0.145","0.0533","0.0973","0.0916","0.101","0.0730","0.0801","0.0487","0.0944","0.0732","0.0859","0.141","0.0805","0.116","0.0931","0.103","0.127","0.0691","0.317","0.206","1.00","0.201","0.0947","0.0311"
"七十二弟子解","0.0654","0.0891","0.0414","0.0558","0.115","0.0903","0.0711","0.0523","0.0920","0.0372","0.123","0.0619","0.0808","0.0849","0.0751","0.0747","0.0969","0.0922","0.0650","0.0283","0.248","0.609","0.201","1.00","0.0910","0.118"
"衣鏡·孔子傳","0.0293","0.0637","0.0187","0.0152","0.0393","0.0280","0.0393","0.0362","0.0513","0.0151","0.0774","0.0265","0.0338","0.0415","0.0217","0.0374","0.0469","0.0501","0.0443","0.0213","0.164","0.0988","0.0947","0.0910","1.00","0.322"
"衣鏡·弟子傳","0.0421","0.0536","0.0320","0.0158","0.0298","0.0326","0.0296","0.0220","0.0447","0.0188","0.0391","0.0388","0.0277","0.0347","0.0289","0.0232","0.0295","0.0334","0.0483","0.0252","0.0655","0.113","0.0311","0.118","0.322","1.00"
