"Term","子罕","本姓解","Product"
"聖","0.0718","0.0736","0.00528"
"故","0.0377","0.116","0.00437"
"雖","0.0591","0.0606","0.00358"
"卿","0.0502","0.0686","0.00344"
"王","0.0235","0.145","0.00341"
"名","0.0262","0.107","0.00280"
"惜","0.0570","0.0390","0.00222"
"將","0.0377","0.0515","0.00194"
"父","0.0148","0.131","0.00194"
"十","0.0422","0.0433","0.00183"
"鄙","0.0718","0.0245","0.00176"
"兩","0.0502","0.0343","0.00172"
"法","0.0502","0.0343","0.00172"
"顏","0.0377","0.0386","0.00146"
"山","0.0323","0.0442","0.00143"
"病","0.0646","0.0221","0.00143"
"適","0.0646","0.0221","0.00143"
"後","0.0390","0.0356","0.00139"
"今","0.0388","0.0354","0.00137"
"歲","0.0447","0.0305","0.00136"
"葬","0.0447","0.0305","0.00136"
"往","0.0291","0.0398","0.00116"
"貴","0.0582","0.0199","0.00116"
"魯","0.0235","0.0483","0.00114"
"文","0.0573","0.0196","0.00112"
"共","0.0400","0.0273","0.00109"
"泰","0.0400","0.0273","0.00109"
"絕","0.0400","0.0273","0.00109"
"九","0.0262","0.0358","0.000938"
"淵","0.0524","0.0179","0.000938"
"進","0.0524","0.0179","0.000938"
"懼","0.0359","0.0245","0.000880"
"華","0.0359","0.0245","0.000880"
"高","0.0359","0.0245","0.000880"
"生","0.00799","0.104","0.000831"
"二","0.0168","0.0458","0.000769"
"或","0.0235","0.0322","0.000757"
"作","0.0189","0.0386","0.000730"
"來","0.0323","0.0221","0.000714"
"衰","0.0323","0.0221","0.000714"
"然","0.0448","0.0153","0.000685"
"夷","0.0211","0.0288","0.000608"
"既","0.0422","0.0144","0.000608"
"足","0.0296","0.0202","0.000598"
"兄","0.0291","0.0199","0.000579"
"豈","0.0291","0.0199","0.000579"
"何","0.0373","0.0153","0.000571"
"思","0.0377","0.0129","0.000486"
"終","0.0262","0.0179","0.000469"
"與","0.0390","0.0117","0.000456"
"至","0.0148","0.0303","0.000448"
"未","0.0407","0.0104","0.000423"
"聞","0.0240","0.0164","0.000394"
"正","0.0168","0.0229","0.000385"
"天","0.0204","0.0174","0.000355"
"成","0.0224","0.0153","0.000343"
"吾","0.0390","0.00833","0.000325"
"哉","0.0559","0.00546","0.000305"
"久","0.0211","0.0144","0.000304"
"五","0.0148","0.0202","0.000299"
"求","0.0296","0.0101","0.000299"
"爾","0.0296","0.0101","0.000299"
"為","0.0146","0.0200","0.000292"
"自","0.0112","0.0230","0.000258"
"由","0.0336","0.00765","0.000257"
"貢","0.0336","0.00765","0.000257"
"上","0.0191","0.0131","0.000250"
"身","0.0189","0.0129","0.000244"
"命","0.0129","0.0177","0.000228"
"於","0.0219","0.00999","0.000219"
"從","0.0400","0.00546","0.000218"
"入","0.0168","0.0114","0.000192"
"弟","0.0168","0.0114","0.000192"
"齊","0.0168","0.0114","0.000192"
"大","0.0149","0.0128","0.000191"
"夫","0.0219","0.00833","0.000182"
"見","0.0254","0.00695","0.000177"
"在","0.0149","0.0102","0.000152"
"志","0.0148","0.0101","0.000149"
"孔","0.00373","0.0383","0.000143"
"諸","0.0191","0.00653","0.000125"
"德","0.00650","0.0178","0.000116"
"所","0.0112","0.0102","0.000114"
"下","0.0102","0.0104","0.000106"
"禮","0.0195","0.00444","0.0000866"
"樂","0.0112","0.00765","0.0000857"
"無","0.0171","0.00500","0.0000855"
"是","0.00747","0.0102","0.0000762"
"已","0.0149","0.00510","0.0000760"
"一","0.0102","0.00695","0.0000709"
"者","0.0215","0.00326","0.0000701"
"道","0.00975","0.00666","0.0000649"
"欲","0.0112","0.00510","0.0000571"
"公","0.00244","0.0200","0.0000488"
"知","0.0146","0.00333","0.0000486"
"乎","0.0155","0.00245","0.0000380"
"使","0.00650","0.00444","0.0000289"
"必","0.0112","0.00255","0.0000286"
"斯","0.0146","0.00167","0.0000244"
"焉","0.00478","0.00490","0.0000234"
"謂","0.00747","0.00255","0.0000190"
"能","0.00717","0.00245","0.0000176"
"問","0.00488","0.00333","0.0000163"
"三","0.00239","0.00490","0.0000117"
"得","0.00358","0.00245","0.00000877"
"●","0","0","0.00"
"䘏","0","0","0.00"
"丁","0","0.0678","0.00"
"七","0","0","0.00"
"丈","0","0","0.00"
"不","0","0","0.00"
"与","0","0","0.00"
"丑","0","0","0.00"
"专","0","0","0.00"
"且","0.0582","0","0.00"
"丕","0","0","0.00"
"世","0","0.0865","0.00"
"丘","0","0.0288","0.00"
"业","0","0","0.00"
"並","0","0","0.00"
"中","0","0","0.00"
"临","0","0","0.00"
"为","0","0","0.00"
"主","0.0359","0","0.00"
"举","0","0","0.00"
"乃","0","0.164","0.00"
"义","0","0","0.00"
"之","0","0","0.00"
"乌","0","0","0.00"
"乐","0","0","0.00"
"乘","0","0","0.00"
"乙","0","0.0678","0.00"
"乞","0","0","0.00"
"也","0","0","0.00"
"乡","0","0","0.00"
"书","0","0","0.00"
"乱","0","0","0.00"
"乾","0","0","0.00"
"亂","0","0.0358","0.00"
"予","0.0670","0","0.00"
"事","0.00975","0","0.00"
"于","0","0.0644","0.00"
"云","0.0235","0","0.00"
"互","0","0","0.00"
"井","0","0","0.00"
"亞","0","0","0.00"
"亟","0","0","0.00"
"亡","0","0","0.00"
"亢","0","0","0.00"
"交","0","0","0.00"
"亥","0","0","0.00"
"亦","0.00955","0","0.00"
"享","0","0","0.00"
"京","0","0","0.00"
"亲","0","0","0.00"
"亶","0","0","0.00"
"人","0","0","0.00"
"仁","0.0130","0","0.00"
"仆","0","0","0.00"
"介","0","0","0.00"
"仍","0","0","0.00"
"从","0","0","0.00"
"仕","0","0.0221","0.00"
"他","0","0","0.00"
"仞","0","0","0.00"
"代","0","0","0.00"
"令","0","0","0.00"
"以","0","0","0.00"
"仰","0.0570","0","0.00"
"仲","0","0.0386","0.00"
"任","0","0","0.00"
"伉","0","0","0.00"
"伊","0","0","0.00"
"伋","0","0","0.00"
"伐","0","0","0.00"
"休","0","0","0.00"
"众","0","0","0.00"
"伟","0","0","0.00"
"传","0","0","0.00"
"伯","0","0.0354","0.00"
"似","0","0","0.00"
"位","0","0.0273","0.00"
"佐","0","0","0.00"
"佗","0","0","0.00"
"余","0","0","0.00"
"佚","0","0","0.00"
"佛","0","0","0.00"
"佞","0","0","0.00"
"佩","0","0","0.00"
"佾","0","0","0.00"
"侃","0","0","0.00"
"侍","0","0","0.00"
"侏","0","0","0.00"
"侗","0","0","0.00"
"供","0","0","0.00"
"依","0","0","0.00"
"侮","0","0","0.00"
"侯","0","0.0221","0.00"
"侵","0","0","0.00"
"便","0","0","0.00"
"俎","0","0","0.00"
"俗","0","0","0.00"
"保","0","0","0.00"
"俟","0","0","0.00"
"信","0.0129","0","0.00"
"修","0","0","0.00"
"俯","0","0","0.00"
"俱","0","0","0.00"
"俾","0","0","0.00"
"倍","0","0","0.00"
"倚","0","0","0.00"
"借","0","0","0.00"
"倡","0","0","0.00"
"倦","0","0","0.00"
"倨","0","0","0.00"
"倩","0","0","0.00"
"倫","0","0.0534","0.00"
"偃","0","0","0.00"
"假","0","0","0.00"
"偏","0.0992","0","0.00"
"偲","0","0","0.00"
"側","0","0","0.00"
"偷","0","0","0.00"
"偽","0","0","0.00"
"備","0","0","0.00"
"傲","0","0","0.00"
"傳","0","0","0.00"
"傴","0","0","0.00"
"傷","0","0","0.00"
"傾","0","0","0.00"
"僂","0","0","0.00"
"僎","0","0","0.00"
"僕","0","0","0.00"
"僖","0","0","0.00"
"僥","0","0","0.00"
"僬","0","0","0.00"
"僭","0","0","0.00"
"儀","0","0","0.00"
"億","0","0","0.00"
"儉","0.0502","0","0.00"
"儐","0","0","0.00"
"儒","0","0","0.00"
"優","0","0","0.00"
"儺","0","0","0.00"
"儻","0","0","0.00"
"儼","0","0","0.00"
"儿","0","0","0.00"
"允","0","0","0.00"
"元","0","0.0449","0.00"
"充","0","0","0.00"
"先","0","0.0606","0.00"
"光","0","0","0.00"
"克","0","0.0305","0.00"
"免","0","0","0.00"
"兒","0","0","0.00"
"兕","0","0","0.00"
"兢","0","0","0.00"
"內","0","0.0221","0.00"
"八","0","0","0.00"
"六","0","0","0.00"
"兮","0","0","0.00"
"兵","0","0","0.00"
"其","0","0","0.00"
"具","0","0","0.00"
"典","0","0.0678","0.00"
"兼","0","0","0.00"
"冉","0","0","0.00"
"再","0","0","0.00"
"冑","0","0.0678","0.00"
"冕","0.114","0","0.00"
"冠","0","0","0.00"
"冢","0","0","0.00"
"冬","0","0","0.00"
"冰","0","0","0.00"
"决","0","0","0.00"
"冶","0","0","0.00"
"几","0","0","0.00"
"凡","0","0.0534","0.00"
"凶","0","0","0.00"
"出","0.0160","0","0.00"
"刀","0","0","0.00"
"分","0","0","0.00"
"切","0","0","0.00"
"刑","0","0","0.00"
"列","0","0","0.00"
"则","0","0","0.00"
"初","0","0.0449","0.00"
"別","0","0.0343","0.00"
"利","0.0291","0","0.00"
"刪","0","0.0678","0.00"
"到","0","0","0.00"
"刳","0","0","0.00"
"制","0","0.107","0.00"
"刺","0","0","0.00"
"刻","0","0","0.00"
"則","0.0153","0","0.00"
"削","0","0","0.00"
"前","0.0400","0","0.00"
"剛","0","0","0.00"
"割","0","0","0.00"
"創","0","0","0.00"
"劍","0","0","0.00"
"力","0","0.0144","0.00"
"功","0","0","0.00"
"加","0","0.0221","0.00"
"动","0","0","0.00"
"助","0","0","0.00"
"勁","0","0","0.00"
"勃","0","0","0.00"
"勇","0.0262","0","0.00"
"勉","0.0992","0","0.00"
"動","0","0","0.00"
"務","0","0","0.00"
"勝","0","0.0610","0.00"
"勞","0","0","0.00"
"勢","0","0","0.00"
"勤","0","0","0.00"
"勸","0","0","0.00"
"勾","0","0","0.00"
"勿","0.0323","0","0.00"
"匏","0","0","0.00"
"北","0","0","0.00"
"匡","0.114","0","0.00"
"匪","0","0","0.00"
"匵","0.0992","0","0.00"
"匹","0.0658","0","0.00"
"匿","0","0","0.00"
"區","0","0","0.00"
"千","0","0.0245","0.00"
"卅","0","0","0.00"
"升","0","0","0.00"
"半","0","0","0.00"
"卑","0","0","0.00"
"卒","0","0.0610","0.00"
"卓","0.0781","0","0.00"
"南","0","0.0161","0.00"
"博","0.0718","0","0.00"
"卜","0","0","0.00"
"卞","0","0","0.00"
"占","0","0","0.00"
"卦","0","0","0.00"
"卫","0","0","0.00"
"卬","0","0","0.00"
"卯","0","0","0.00"
"危","0","0","0.00"
"即","0","0.0390","0.00"
"卵","0","0","0.00"
"卷","0","0","0.00"
"卹","0","0","0.00"
"卻","0","0","0.00"
"厚","0","0","0.00"
"原","0","0","0.00"
"厥","0","0","0.00"
"厭","0","0","0.00"
"厲","0","0.0305","0.00"
"去","0","0","0.00"
"參","0","0","0.00"
"又","0.0235","0","0.00"
"及","0","0.0386","0.00"
"友","0.0189","0","0.00"
"反","0.0718","0","0.00"
"叔","0","0.125","0.00"
"取","0","0","0.00"
"受","0","0","0.00"
"口","0","0","0.00"
"古","0","0","0.00"
"句","0","0","0.00"
"叩","0.0781","0","0.00"
"召","0","0","0.00"
"可","0.0336","0","0.00"
"史","0","0.0273","0.00"
"右","0","0","0.00"
"司","0","0","0.00"
"各","0.0447","0","0.00"
"合","0","0","0.00"
"吉","0","0","0.00"
"同","0","0","0.00"
"后","0","0","0.00"
"吏","0","0","0.00"
"向","0","0","0.00"
"君","0","0","0.00"
"吝","0","0","0.00"
"否","0","0","0.00"
"听","0","0","0.00"
"吳","0","0","0.00"
"告","0","0.0101","0.00"
"周","0","0.0505","0.00"
"味","0","0","0.00"
"呼","0","0","0.00"
"和","0","0","0.00"
"咎","0","0","0.00"
"咨","0","0","0.00"
"咫","0","0","0.00"
"哀","0","0","0.00"
"哂","0","0","0.00"
"哆","0","0","0.00"
"哭","0","0","0.00"
"哲","0","0","0.00"
"唐","0.0570","0","0.00"
"唯","0","0.0144","0.00"
"商","0","0","0.00"
"啟","0","0.0390","0.00"
"善","0.0130","0","0.00"
"喜","0","0","0.00"
"喟","0.0570","0","0.00"
"喪","0.0706","0","0.00"
"喭","0","0","0.00"
"單","0","0","0.00"
"喻","0","0","0.00"
"嗅","0","0","0.00"
"嗚","0","0","0.00"
"嗟","0","0","0.00"
"嗣","0","0.160","0.00"
"嘆","0","0","0.00"
"嘉","0","0.0534","0.00"
"嘗","0","0","0.00"
"器","0","0","0.00"
"噪","0","0","0.00"
"噫","0","0","0.00"
"噲","0","0","0.00"
"嚭","0","0","0.00"
"嚴","0","0.0534","0.00"
"囚","0","0","0.00"
"四","0.0335","0","0.00"
"回","0.0262","0","0.00"
"因","0","0.0221","0.00"
"困","0.0447","0","0.00"
"固","0.0718","0","0.00"
"国","0","0","0.00"
"圃","0","0","0.00"
"圉","0","0","0.00"
"國","0","0.0398","0.00"
"圍","0","0","0.00"
"圖","0.0658","0","0.00"
"土","0","0","0.00"
"圣","0","0","0.00"
"圩","0","0","0.00"
"圬","0","0","0.00"
"圭","0","0","0.00"
"地","0.0502","0","0.00"
"圻","0","0.0678","0.00"
"均","0","0","0.00"
"坏","0","0","0.00"
"坐","0","0","0.00"
"坚","0","0","0.00"
"坦","0","0","0.00"
"坫","0","0","0.00"
"垂","0","0.136","0.00"
"城","0","0","0.00"
"域","0","0","0.00"
"執","0.0942","0","0.00"
"堂","0","0","0.00"
"堅","0.0570","0","0.00"
"堇","0","0","0.00"
"堪","0","0","0.00"
"堯","0","0.0305","0.00"
"報","0","0","0.00"
"塗","0","0","0.00"
"塞","0","0","0.00"
"境","0","0","0.00"
"墓","0","0","0.00"
"墜","0","0","0.00"
"墮","0","0","0.00"
"墳","0","0","0.00"
"墻","0","0","0.00"
"壇","0","0","0.00"
"壞","0","0","0.00"
"壤","0","0","0.00"
"士","0","0.0288","0.00"
"壯","0","0","0.00"
"壺","0","0","0.00"
"壽","0","0","0.00"
"备","0","0","0.00"
"复","0","0","0.00"
"夏","0","0.0202","0.00"
"夔","0","0","0.00"
"夕","0","0","0.00"
"外","0","0","0.00"
"多","0.0739","0","0.00"
"夜","0.0570","0","0.00"
"夢","0","0","0.00"
"太","0","0.0390","0.00"
"夭","0","0","0.00"
"失","0","0","0.00"
"夾","0","0","0.00"
"奇","0","0","0.00"
"奈","0","0","0.00"
"奉","0","0.0449","0.00"
"奏","0","0","0.00"
"契","0","0","0.00"
"奔","0","0","0.00"
"奚","0","0","0.00"
"奠","0","0","0.00"
"奡","0","0","0.00"
"奢","0","0","0.00"
"奧","0","0","0.00"
"奪","0.114","0","0.00"
"女","0","0.0515","0.00"
"奴","0","0","0.00"
"好","0.0191","0","0.00"
"如","0","0","0.00"
"妻","0","0.0546","0.00"
"妾","0","0.0678","0.00"
"始","0","0.0161","0.00"
"姑","0","0","0.00"
"姓","0","0","0.00"
"委","0","0","0.00"
"姬","0","0","0.00"
"威","0","0","0.00"
"娶","0","0.0449","0.00"
"婚","0","0.0534","0.00"
"婢","0","0","0.00"
"婦","0","0","0.00"
"媚","0","0","0.00"
"嫌","0","0","0.00"
"嬉","0","0","0.00"
"嬖","0","0","0.00"
"嬰","0","0","0.00"
"子","0","0","0.00"
"字","0","0.0915","0.00"
"存","0","0","0.00"
"孙","0","0","0.00"
"孝","0","0","0.00"
"孟","0","0.0322","0.00"
"季","0","0","0.00"
"孤","0","0","0.00"
"学","0","0","0.00"
"孫","0","0.0322","0.00"
"孰","0","0.0161","0.00"
"學","0.0224","0","0.00"
"孺","0","0","0.00"
"孽","0","0","0.00"
"守","0","0","0.00"
"安","0","0","0.00"
"宋","0","0.240","0.00"
"完","0","0","0.00"
"宓","0","0","0.00"
