"Term","學而","為政","八佾","里仁","公冶長","雍也","述而","泰伯","子罕","鄉黨","先進","顏淵","子路","憲問","衛靈公","季氏","陽貨","微子","子張","堯曰","孔子世家","仲尼弟子列傳","本姓解","七十二弟子解","衣鏡·孔子傳","衣鏡·弟子傳"
"●","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0218","0","0"
"䘏","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0218","0","0"
"一","0","0.00624","0","0.0333","0.0152","0.0208","0.00545","0","0.0102","0.00690","0.00409","0.00865","0.0173","0.00360","0.0110","0.00387","0","0.00507","0.0103","0.00660","0.0127","0.00600","0.00695","0.00672","0.00329","0.00976"
"丁","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0678","0","0","0"
"七","0","0.0440","0","0","0","0","0","0","0","0","0.0866","0","0.0305","0.0254","0","0","0","0","0","0","0.0496","0.0318","0","0.00790","0.0929","0"
"丈","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.114","0","0","0.0158","0.0168","0","0.0125","0","0"
"三","0.00395","0.00293","0.00417","0.00196","0.00357","0.00122","0.00767","0.00459","0.00239","0.00243","0.00673","0.00102","0.00203","0.00592","0.00129","0.00909","0.00790","0.00595","0.00121","0","0.00595","0.00440","0.00490","0.00342","0.00386","0.000458"
"上","0.0316","0","0.00834","0","0.00952","0.0390","0.0205","0","0.0191","0.0130","0","0.00812","0.0243","0.0203","0","0.00727","0.0237","0","0.00965","0","0.0132","0.0225","0.0131","0.00631","0.0309","0.00367"
"下","0","0","0.0133","0.00833","0.00507","0.00520","0.00545","0.0244","0.0102","0.00690","0","0.0216","0","0.0144","0.00550","0.0232","0.0168","0.0304","0.0103","0.00660","0.0162","0.00825","0.0104","0.00224","0.0197","0.00195"
"不","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"与","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.101","0.210"
"丑","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0108","0","0","0","0.0505","0"
"专","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0642","0"
"且","0","0.0357","0","0","0","0.0297","0.0312","0.0838","0.0582","0","0.0234","0","0","0","0","0.0443","0","0.0290","0","0","0.0282","0.0215","0","0","0","0"
